date,price
2018-1-01,15127
2018-2-01,13049
2018-3-01,13017
2018-4-01,9726
2018-5-01,11947
2018-6-01,12321
2018-7-01,11149
2018-8-01,11426
2018-9-01,9953
2018-10-01,12563
2018-11-01,11688
2018-12-01,7922
2019-1-01,10671
2019-2-01,8068
2019-3-01,9926
2019-4-01,10616
2019-5-01,9459
2019-6-01,8081
2019-7-01,9711
2019-8-01,7319
2019-9-01,6589
2019-10-01,10513
2019-11-01,10065
2019-12-01,8799
2020-1-01,7511
2020-2-01,12243
2020-3-01,17079
2020-4-01,16168
2020-5-01,12309
2020-6-01,12500
2020-7-01,11543
2020-8-01,8837
2020-9-01,8547
2020-10-01,3149
2020-11-01,0
2020-12-01,0
