date,price
2019-12-13,550000.0
2019-12-12,544000.0
2019-12-11,535000.0
2019-12-10,526000.0
2019-12-09,529000.0
2019-12-06,540000.0
2019-12-05,543000.0
2019-12-04,547000.0
2019-12-03,551000.0
2019-12-02,556000.0
2019-11-29,557000.0
2019-11-28,568000.0
2019-11-27,564000.0
2019-11-26,566000.0
2019-11-25,553000.0
2019-11-22,551000.0
2019-11-21,554000.0
2019-11-20,563000.0
2019-11-19,564000.0
2019-11-18,570000.0
2019-11-15,572000.0
2019-11-14,570000.0
2019-11-13,575000.0
2019-11-12,579000.0
2019-11-11,581000.0
2019-11-08,578000.0
2019-11-07,581000.0
2019-11-06,575000.0
2019-11-05,577000.0
2019-11-04,576000.0
2019-11-01,568000.0
2019-10-31,565000.0
2019-10-30,567000.0
2019-10-29,564000.0
2019-10-28,570000.0
2019-10-25,569000.0
2019-10-24,575000.0
2019-10-23,572000.0
2019-10-22,581000.0
2019-10-21,583000.0
2019-10-18,583000.0
2019-10-17,579000.0
2019-10-16,579000.0
2019-10-15,575000.0
2019-10-14,569000.0
2019-10-11,562000.0
2019-10-10,563000.0
2019-10-08,569000.0
2019-10-07,571000.0
2019-10-04,562000.0
2019-10-02,569000.0
2019-10-01,581000.0
2019-09-30,583000.0
2019-09-27,579000.0
2019-09-26,582000.0
2019-09-25,584000.0
2019-09-24,589000.0
2019-09-23,589000.0
2019-09-20,594000.0
2019-09-19,584000.0
2019-09-18,593000.0
2019-09-17,586000.0
2019-09-16,582000.0
2019-09-11,566000.0
2019-09-10,566000.0
2019-09-09,566000.0
2019-09-06,568000.0
2019-09-05,570000.0
2019-09-04,578000.0
2019-09-03,572000.0
2019-09-02,572000.0
2019-08-30,571000.0
2019-08-29,567000.0
2019-08-28,564000.0
2019-08-27,551000.0
2019-08-26,559000.0
2019-08-23,569000.0
2019-08-22,581000.0
2019-08-21,587000.0
2019-08-20,584000.0
2019-08-19,582000.0
2019-08-16,583000.0
2019-08-14,602000.0
2019-08-13,609000.0
2019-08-12,610000.0
2019-08-09,614000.0
2019-08-08,614000.0
2019-08-07,610000.0
2019-08-06,619000.0
2019-08-05,615000.0
2019-08-02,630000.0
2019-08-01,640000.0
2019-07-31,645000.0
2019-07-30,647000.0
2019-07-29,649000.0
2019-07-26,658000.0
2019-07-25,668000.0
2019-07-24,668000.0
2019-07-23,664000.0
2019-07-22,656000.0
2019-07-19,664000.0
2019-07-18,662000.0
2019-07-17,661000.0
2019-07-16,669000.0
2019-07-15,667000.0
2019-07-12,677000.0
2019-07-11,682000.0
2019-07-10,676000.0
2019-07-09,678000.0
2019-07-08,681000.0
2019-07-05,691000.0
2019-07-04,686000.0
2019-07-03,687000.0
2019-07-02,686000.0
2019-07-01,681000.0
2019-06-28,685000.0
2019-06-27,691000.0
2019-06-26,688000.0
2019-06-25,690000.0
2019-06-24,693000.0
2019-06-21,699000.0
2019-06-20,703000.0
2019-06-19,703000.0
2019-06-18,708000.0
2019-06-17,714000.0
2019-06-14,712000.0
2019-06-13,715000.0
2019-06-12,714000.0
2019-06-11,708000.0
2019-06-10,705000.0
2019-06-07,694000.0
2019-06-05,704000.0
2019-06-04,711000.0
2019-06-03,712000.0
2019-05-31,711000.0
2019-05-30,708000.0
2019-05-29,719000.0
2019-05-28,706000.0
2019-05-27,714000.0
2019-05-24,728000.0
2019-05-23,726000.0
2019-05-22,723000.0
2019-05-21,729000.0
2019-05-20,720000.0
2019-05-17,723000.0
2019-05-16,730000.0
2019-05-15,706000.0
2019-05-14,695000.0
2019-05-13,699000.0
2019-05-10,702000.0
2019-05-09,698000.0
2019-05-08,720000.0
2019-05-07,717000.0
2019-05-03,720000.0
2019-05-02,726000.0
2019-04-30,726000.0
2019-04-29,735000.0
2019-04-26,722000.0
2019-04-25,724000.0
2019-04-24,724000.0
2019-04-23,728000.0
2019-04-22,728000.0
2019-04-19,727000.0
2019-04-18,726000.0
2019-04-17,734000.0
2019-04-16,739000.0
2019-04-15,749000.0
2019-04-12,746000.0
2019-04-11,745000.0
2019-04-10,741000.0
2019-04-09,740000.0
2019-04-08,742000.0
2019-04-05,745000.0
2019-04-04,747000.0
2019-04-03,748000.0
2019-04-02,750000.0
2019-04-01,759000.0
2019-03-29,771000.0
2019-03-28,761000.0
2019-03-27,762000.0
2019-03-26,755000.0
2019-03-25,752000.0
2019-03-22,747000.0
2019-03-21,751000.0
2019-03-20,771000.0
2019-03-19,779000.0
2019-03-18,782000.0
2019-03-15,775000.0
2019-03-14,772000.0
2019-03-13,769000.0
2019-03-12,767000.0
2019-03-11,765000.0
2019-03-08,761000.0
2019-03-07,763000.0
2019-03-06,766000.0
2019-03-05,768000.0
2019-03-04,759000.0
2019-02-28,764000.0
2019-02-27,768000.0
2019-02-26,766000.0
2019-02-25,761000.0
2019-02-22,761000.0
2019-02-21,764000.0
2019-02-20,768000.0
2019-02-19,772000.0
2019-02-18,776000.0
2019-02-17,792000.0
2019-02-15,792000.0
2019-02-14,798000.0
2019-02-13,783000.0
2019-02-12,778000.0
2019-02-11,788000.0
2019-02-10,784000.0
2019-02-08,784000.0
2019-02-07,766000.0
2019-02-06,774000.0
2019-02-01,774000.0
2019-01-31,779000.0
2019-01-30,778000.0
2019-01-29,780000.0
2019-01-28,770000.0
2019-01-27,773000.0
2019-01-25,773000.0
2019-01-24,784000.0
2019-01-23,800000.0
2019-01-22,784000.0
2019-01-21,765000.0
2019-01-20,768000.0
2019-01-18,768000.0
2019-01-17,772000.0
2019-01-16,771000.0
2019-01-15,782000.0
2019-01-14,791000.0
2019-01-13,786000.0
2019-01-11,786000.0
2019-01-10,770000.0
2019-01-09,780000.0
2019-01-08,776000.0
2019-01-07,760000.0
2019-01-06,768000.0
2019-01-04,768000.0
2019-01-03,726000.0
2019-01-02,716000.0
2019-01-01,724000.0
2018-12-28,724000.0
2018-12-27,720000.0
2018-12-26,722000.0
2018-12-25,725000.0
2018-12-24,725000.0
2018-12-23,747000.0
2018-12-21,747000.0
2018-12-20,753000.0
2018-12-19,740000.0
2018-12-18,739000.0
2018-12-17,744000.0
2018-12-16,743000.0
2018-12-14,743000.0
2018-12-13,745000.0
2018-12-12,738000.0
2018-12-11,736000.0
2018-12-10,736000.0
2018-12-09,731000.0
2018-12-07,731000.0
2018-12-06,736000.0
2018-12-05,741000.0
2018-12-04,732000.0
2018-12-03,729000.0
2018-12-02,741000.0
2018-11-30,741000.0
2018-11-29,728000.0
2018-11-28,738000.0
2018-11-27,756000.0
2018-11-26,755000.0
2018-11-25,730000.0
2018-11-23,730000.0
2018-11-22,728000.0
2018-11-21,727000.0
2018-11-20,723000.0
2018-11-19,712000.0
2018-11-18,717000.0
2018-11-16,717000.0
2018-11-15,694000.0
2018-11-14,679000.0
2018-11-13,659000.0
2018-11-12,659000.0
2018-11-11,661000.0
2018-11-09,661000.0
2018-11-08,681000.0
2018-11-07,682000.0
2018-11-06,664000.0
2018-11-05,655000.0
2018-11-02,662000.0
2018-11-01,654000.0
2018-10-31,659000.0
2018-10-30,668000.0
2018-10-29,668000.0
2018-10-26,675000.0
2018-10-25,686000.0
2018-10-24,686000.0
2018-10-23,653000.0
2018-10-22,668000.0
2018-10-19,663000.0
2018-10-18,666000.0
2018-10-17,681000.0
2018-10-16,676000.0
2018-10-15,682000.0
2018-10-12,667000.0
2018-10-11,670000.0
2018-10-10,689000.0
2018-10-08,702000.0
2018-10-05,709000.0
2018-10-04,718000.0
2018-10-02,724000.0
2018-10-01,737000.0
2018-09-28,747000.0
2018-09-27,740000.0
2018-09-21,726000.0
2018-09-20,705000.0
2018-09-19,709000.0
2018-09-18,711000.0
2018-09-17,714000.0
2018-09-14,717000.0
2018-09-13,711000.0
2018-09-12,714000.0
2018-09-11,715000.0
2018-09-10,711000.0
2018-09-07,720000.0
2018-09-06,722000.0
2018-09-05,718000.0
2018-09-04,725000.0
2018-09-03,725000.0
2018-09-02,725000.0
2018-08-31,725000.0
2018-08-30,728000.0
2018-08-29,731000.0
2018-08-28,735000.0
2018-08-27,732000.0
2018-08-24,745000.0
2018-08-23,746000.0
2018-08-22,741000.0
2018-08-21,748000.0
2018-08-20,751000.0
2018-08-17,782000.0
2018-08-16,800000.0
2018-08-15,815000.0
2018-08-14,815000.0
2018-08-13,867000.0
2018-08-10,878000.0
2018-08-09,877000.0
2018-08-08,870000.0
2018-08-07,881000.0
2018-08-06,887000.0
2018-08-03,888000.0
2018-08-02,884000.0
2018-08-01,877000.0
2018-07-31,882000.0
2018-07-30,865000.0
2018-07-27,856000.0
2018-07-26,845000.0
2018-07-25,861000.0
2018-07-24,866000.0
2018-07-23,869000.0
2018-07-20,843000.0
2018-07-19,820000.0
2018-07-18,836000.0
2018-07-17,820000.0
2018-07-16,836000.0
2018-07-13,828000.0
2018-07-12,844000.0
2018-07-11,833000.0
2018-07-10,832000.0
2018-07-09,841000.0
2018-07-06,839000.0
2018-07-05,818000.0
2018-07-04,835000.0
2018-07-03,835000.0
2018-07-02,837000.0
2018-06-29,859000.0
2018-06-28,831000.0
2018-06-27,822000.0
2018-06-26,846000.0
2018-06-25,844000.0
2018-06-22,860000.0
2018-06-21,821000.0
2018-06-20,844000.0
2018-06-19,838000.0
2018-06-18,850000.0
2018-06-15,859000.0
2018-06-14,878000.0
2018-06-12,886000.0
2018-06-11,888000.0
2018-06-08,888000.0
2018-06-07,890000.0
2018-06-05,846000.0
2018-06-04,855000.0
2018-06-03,857000.0
2018-06-01,857000.0
2018-05-31,810000.0
2018-05-30,784000.0
2018-05-29,782000.0
2018-05-28,779000.0
2018-05-25,758000.0
2018-05-24,772000.0
2018-05-23,773000.0
2018-05-21,783000.0
2018-05-18,784000.0
2018-05-17,777000.0
2018-05-16,784000.0
2018-05-15,747000.0
2018-05-14,746000.0
2018-05-13,741000.0
2018-05-11,741000.0
2018-05-10,739000.0
2018-05-09,746000.0
2018-05-08,748000.0
2018-05-04,761000.0
2018-05-03,771000.0
2018-05-02,781000.0
2018-04-30,794000.0
2018-04-27,771000.0
2018-04-26,771000.0
2018-04-25,772000.0
2018-04-24,786000.0
2018-04-23,786000.0
2018-04-20,782000.0
2018-04-19,775000.0
2018-04-18,779000.0
2018-04-17,790000.0
2018-04-16,781000.0
2018-04-13,761000.0
2018-04-12,772000.0
2018-04-11,774000.0
2018-04-10,778000.0
2018-04-09,774000.0
2018-04-06,765000.0
2018-04-05,764000.0
2018-04-04,762000.0
2018-04-03,767000.0
2018-04-02,737000.0
2018-03-30,712000.0
2018-03-29,711000.0
2018-03-28,712000.0
2018-03-27,708000.0
2018-03-26,711000.0
2018-03-23,704000.0
2018-03-22,727000.0
2018-03-21,723000.0
2018-03-20,722000.0
2018-03-19,723000.0
2018-03-16,727000.0
2018-03-15,733000.0
2018-03-14,723000.0
2018-03-13,725000.0
2018-03-12,733000.0
2018-03-09,735000.0
2018-03-08,738000.0
2018-03-07,691000.0
2018-03-06,695000.0
2018-03-05,696000.0
2018-03-02,698000.0
2018-02-28,707000.0
2018-02-27,723000.0
2018-02-26,716000.0
2018-02-25,726000.0
2018-02-23,726000.0
2018-02-22,700000.0
2018-02-21,697000.0
2018-02-20,694000.0
2018-02-19,699000.0
2018-02-14,684000.0
2018-02-13,684000.0
2018-02-12,697000.0
2018-02-09,711000.0
2018-02-08,712000.0
2018-02-07,713000.0
2018-02-06,721000.0
2018-02-05,730000.0
2018-02-04,759000.0
2018-02-02,759000.0
2018-02-01,769000.0
2018-01-31,770000.0
2018-01-30,780000.0
2018-01-29,791000.0
2018-01-26,796000.0
2018-01-25,785000.0
2018-01-24,784000.0
2018-01-23,779000.0
2018-01-22,784000.0
2018-01-19,779000.0
2018-01-18,775000.0
2018-01-17,778000.0
2018-01-16,791000.0
2018-01-15,778000.0
2018-01-12,778000.0
2018-01-11,783000.0
2018-01-10,796000.0
2018-01-09,788000.0
2018-01-08,792000.0
