keyword,importance
삼성전자(주),14639
LG전자(주),9171
현대자동차(주),8917
(주)케이티,5015
SK텔레콤(주),4895
(주)LG유플러스,3824
기아자동차(주),3616
(주)신한은행,3604
네이버(주),3173
(주)우리은행,2932
